R	3.6463	1.5803	0.7651	1477010443450000	-0.0282	3.1487	-0.1253	0.9921
R	4.0146	1.6338	1.2981	1477010444250000	-0.2327	3.9200	-0.3681	0.9298
R	5.0313	1.6776	1.1982	1477010445050000	-0.6226	4.6162	-0.5878	0.8090
R	5.4886	1.7860	1.3144	1477010445850000	-1.1734	5.1935	-0.7705	0.6374
R	5.8337	1.9097	0.4588	1477010446650000	-1.8504	5.6157	-0.9048	0.4258
R	6.2940	2.0204	0.2698	1477010447450000	-2.6111	5.8563	-0.9823	0.1874
R	6.5866	2.0522	0.5645	1477010448250000	-3.4078	5.9002	-0.9980	-0.0628
R	7.4170	2.1410	0.1248	1477010449050000	-4.1904	5.7445	-0.9511	-0.3090
R	7.8524	2.3141	-0.0289	1477010449850000	-4.9097	5.3991	-0.8443	-0.5358
R	7.4688	2.3614	0.2042	1477010450650000	-5.5205	4.8857	-0.6846	-0.7290
R	7.5756	2.4940	-0.0473	1477010451450000	-5.9844	4.2365	-0.4818	-0.8763
R	7.0074	2.6594	-0.2572	1477010452250000	-6.2723	3.4924	-0.2487	-0.9686
R	7.4335	2.7644	-0.7781	1477010453050000	-6.3661	2.7000	0.0000	-1.0000
R	6.0691	2.8713	-0.7061	1477010453850000	-6.2599	1.9092	0.2487	-0.9686
R	6.2124	3.0156	-0.5960	1477010454650000	-5.9603	1.1697	0.4817	-0.8763
R	5.2035	3.0227	-0.8179	1477010455450000	-5.4863	0.5278	0.6845	-0.7290
R	4.8669	3.1663	-1.1920	1477010456250000	-4.8675	0.0241	0.8443	-0.5358
R	3.9700	-3.0946	-1.2362	1477010457050000	-4.1429	-0.3100	0.9510	-0.3090
R	3.0054	-3.0221	-1.2402	1477010457850000	-3.3580	-0.4533	0.9980	-0.0628
R	2.2690	-3.0089	-1.0313	1477010458650000	-2.5620	-0.3970	0.9823	0.1874
R	1.7527	-3.0409	-0.6909	1477010459450000	-1.8052	-0.1445	0.9048	0.4258
R	1.0678	2.8893	-0.5308	1477010460250000	-1.1348	0.2884	0.7705	0.6374
R	0.6295	2.2072	0.6592	1477010461050000	-0.5932	0.8743	0.5878	0.8090
R	1.5444	1.7178	1.2407	1477010461850000	-0.2143	1.5765	0.3682	0.9298
R	1.7474	1.5743	1.3167	1477010462650000	-0.0220	2.3509	0.1254	0.9921
R	2.8864	1.5762	1.3975	1477010463450000	0.0157	3.1494	0.0941	0.9956
R	3.5850	1.5193	1.1963	1477010464250000	0.1959	3.9267	0.3388	0.9409
R	4.6384	1.4471	0.9722	1477010465050000	0.5637	4.6348	0.5621	0.8271
R	5.1259	1.3641	0.6322	1477010465850000	1.0960	5.2292	0.7501	0.6613
R	5.8234	1.3096	0.5334	1477010466650000	1.7595	5.6724	0.8910	0.4540
R	7.0412	1.1948	0.0875	1477010467450000	2.5123	5.9368	0.9759	0.2181
R	6.4550	1.0220	0.7497	1477010468250000	3.3072	6.0057	0.9995	-0.0314
R	7.0193	0.9555	-0.0899	1477010469050000	4.0943	5.8747	0.9603	-0.2790
R	7.4365	0.8362	0.3955	1477010469850000	4.8241	5.5520	0.8607	-0.5091
R	7.8180	0.7573	-0.4005	1477010470650000	5.4507	5.0581	0.7071	-0.7071
R	8.2849	0.6756	-0.3504	1477010471450000	5.9347	4.4238	0.5090	-0.8608
R	7.6835	0.5433	-0.0770	1477010472250000	6.2459	3.6890	0.2790	-0.9603
R	7.3623	0.4593	-0.2399	1477010473050000	6.3645	2.9000	0.0314	-0.9995
R	7.0239	0.3464	-0.3682	1477010473850000	6.2832	2.1062	-0.2182	-0.9759
R	5.7822	0.1559	-0.8443	1477010474650000	6.0070	1.3576	-0.4540	-0.8910
R	5.3285	0.1706	-0.9673	1477010475450000	5.5533	0.7013	-0.6613	-0.7501
R	4.9874	0.0815	-1.0039	1477010476250000	4.9507	0.1783	-0.8271	-0.5621
R	4.3517	-0.0407	-0.8700	1477010477050000	4.2369	-0.1783	-0.9409	-0.3387
R	3.7913	-0.1143	-0.8513	1477010477850000	3.4569	-0.3463	-0.9956	-0.0941
R	2.7076	-0.1361	-0.8347	1477010478650000	2.6596	-0.3149	-0.9877	0.1564
R	1.5359	-0.0772	-1.0864	1477010479450000	1.8952	-0.0863	-0.9178	0.3971
R	1.2734	0.2359	-0.8513	1477010480250000	1.2116	0.3252	-0.7902	0.6129
R	0.9051	0.9973	0.4287	1477010481050000	0.6518	0.8938	-0.6129	0.7902
R	1.0856	1.4104	1.7504	1477010481850000	0.2511	1.5838	-0.3971	0.9178
R	2.7546	1.5271	0.6000	1477010482650000	0.0345	2.3517	-0.1564	0.9877
